date,BPP,CPI
4/8/13,107.65,106.379
4/9/13,107.572,106.379
4/10/13,107.501,106.379
4/11/13,107.487,106.379
4/12/13,107.474,106.379
4/13/13,107.46,106.379
4/14/13,107.427,106.379
4/15/13,107.466,106.379
4/16/13,107.455,106.379
4/17/13,107.557,106.379
4/18/13,107.557,106.379
4/19/13,107.534,106.379
4/20/13,107.55,106.379
4/21/13,107.558,106.379
4/22/13,107.546,106.379
4/23/13,107.534,106.379
4/24/13,107.555,106.379
4/25/13,107.553,106.379
4/26/13,107.545,106.379
4/27/13,107.553,106.379
4/28/13,107.55,106.379
4/29/13,107.577,106.379
4/30/13,107.515,106.379
5/1/13,107.499,106.268
5/2/13,107.549,106.268
5/3/13,107.534,106.268
5/4/13,107.536,106.268
5/5/13,107.521,106.268
5/6/13,107.509,106.268
5/7/13,107.489,106.268
5/8/13,107.597,106.268
5/9/13,107.617,106.268
5/10/13,107.612,106.268
5/11/13,107.641,106.268
5/12/13,107.67,106.268
5/13/13,107.7,106.268
5/14/13,107.646,106.268
5/15/13,107.752,106.268
5/16/13,107.756,106.268
5/17/13,107.768,106.268
5/18/13,107.797,106.268
5/19/13,107.824,106.268
5/20/13,107.836,106.268
5/21/13,107.824,106.268
5/22/13,107.912,106.268
5/23/13,107.932,106.268
5/24/13,107.93,106.268
5/25/13,107.869,106.268
5/26/13,107.863,106.268
5/27/13,107.861,106.268
5/28/13,107.848,106.268
5/29/13,107.936,106.268
5/30/13,107.943,106.268
5/31/13,107.927,106.268
6/1/13,107.94,106.458
6/2/13,107.928,106.458
6/3/13,107.944,106.458
6/4/13,107.922,106.458
6/5/13,107.939,106.458
6/6/13,107.924,106.458
6/7/13,107.904,106.458
6/8/13,107.921,106.458
6/9/13,107.931,106.458
6/10/13,107.916,106.458
6/11/13,107.858,106.458
6/12/13,107.966,106.458
6/13/13,107.954,106.458
6/14/13,107.932,106.458
6/15/13,107.921,106.458
6/16/13,107.927,106.458
6/17/13,107.933,106.458
6/18/13,107.925,106.458
6/19/13,107.987,106.458
6/20/13,107.975,106.458
6/21/13,107.959,106.458
6/22/13,108.02,106.458
6/23/13,108.022,106.458
6/24/13,108.051,106.458
6/25/13,107.945,106.458
6/26/13,107.964,106.458
6/27/13,107.941,106.458
6/28/13,107.908,106.458
6/29/13,107.873,106.458
6/30/13,107.843,106.458
7/1/13,107.828,106.713
7/2/13,107.797,106.713
7/3/13,107.832,106.713
7/4/13,107.826,106.713
7/5/13,107.806,106.713
7/6/13,107.808,106.713
7/7/13,107.853,106.713
7/8/13,107.876,106.713
7/9/13,107.868,106.713
7/10/13,108.008,106.713
7/11/13,108.035,106.713
7/12/13,108.046,106.713
7/13/13,108.075,106.713
7/14/13,108.099,106.713
7/15/13,108.127,106.713
7/16/13,108.102,106.713
7/17/13,108.192,106.713
7/18/13,108.223,106.713
7/19/13,108.235,106.713
7/20/13,108.252,106.713
7/21/13,108.234,106.713
7/22/13,108.213,106.713
7/23/13,108.208,106.713
7/24/13,108.213,106.713
7/25/13,108.231,106.713
7/26/13,108.194,106.713
7/27/13,108.226,106.713
7/28/13,108.22,106.713
7/29/13,108.217,106.713
7/30/13,108.171,106.713
7/31/13,108.203,106.713
8/1/13,108.186,106.755
8/2/13,108.154,106.755
8/3/13,108.165,106.755
8/4/13,108.157,106.755
8/5/13,108.163,106.755
8/6/13,108.143,106.755
8/7/13,108.15,106.755
8/8/13,108.134,106.755
8/9/13,108.075,106.755
8/10/13,108.089,106.755
8/11/13,108.044,106.755
8/12/13,108.039,106.755
8/13/13,108.026,106.755
8/14/13,108.058,106.755
8/15/13,108.063,106.755
8/16/13,108.03,106.755
8/17/13,108.036,106.755
8/18/13,108.046,106.755
8/19/13,108.059,106.755
8/20/13,108.036,106.755
8/21/13,108.078,106.755
8/22/13,108.062,106.755
8/23/13,108.056,106.755
8/24/13,108.049,106.755
8/25/13,108.056,106.755
8/26/13,108.049,106.755
8/27/13,108.043,106.755
8/28/13,108.067,106.755
8/29/13,108.07,106.755
8/30/13,108.063,106.755
8/31/13,108.107,106.755
9/1/13,108.118,106.883
9/2/13,108.132,106.883
9/3/13,108.134,106.883
9/4/13,108.207,106.883
9/5/13,108.205,106.883
9/6/13,108.18,106.883
9/7/13,108.197,106.883
9/8/13,108.203,106.883
9/9/13,108.214,106.883
9/10/13,108.205,106.883
9/11/13,108.302,106.883
